category,word,count,total_posts
IT 개발 데이터,소프트웨어개발,152,1000
IT 개발 데이터,웹개발,125,1000
IT 개발 데이터,데이터엔지니어,121,1000
IT 개발 데이터,백엔드,119,1000
IT 개발 데이터,서버개발,119,1000
IT 개발 데이터,it컨설팅,95,1000
IT 개발 데이터,데이터분석가,94,1000
IT 개발 데이터,머신러닝,92,1000
IT 개발 데이터,앱개발,71,1000
IT 개발 데이터,it영업,67,1000
건설 건축,백엔드,66,321
건설 건축,서버개발,66,321
건설 건축,웹개발,41,321
건설 건축,정보보안,39,321
건설 건축,전자,39,321
건설 건축,erp,30,321
건설 건축,소프트웨어개발,29,321
건설 건축,앱개발,28,321
건설 건축,데이터엔지니어,26,321
건설 건축,손익관리,26,321
고객상담 TM,백엔드,70,299
고객상담 TM,서버개발,70,299
고객상담 TM,웹개발,45,299
고객상담 TM,정보보안,42,299
고객상담 TM,전자,42,299
고객상담 TM,데이터엔지니어,28,299
고객상담 TM,손익관리,28,299
고객상담 TM,erp,28,299
고객상담 TM,앱개발,28,299
고객상담 TM,소프트웨어개발,28,299
공공 복지,소프트웨어개발,94,466
공공 복지,백엔드,61,466
공공 복지,서버개발,61,466
공공 복지,웹개발,49,466
공공 복지,si,40,466
공공 복지,시스템통합,40,466
공공 복지,솔루션업체,35,466
공공 복지,python,32,466
공공 복지,se,29,466
공공 복지,시스템엔지니어,29,466
교육,백엔드,87,600
교육,서버개발,87,600
교육,웹개발,75,600
교육,python,55,600
교육,se,48,600
교육,시스템엔지니어,48,600
교육,머신러닝,43,600
교육,네트워크,42,600
교육,정보보안,40,600
교육,솔루션,34,600
구매 자재 물류,백엔드,70,313
구매 자재 물류,서버개발,70,313
구매 자재 물류,웹개발,40,313
구매 자재 물류,정보보안,39,313
구매 자재 물류,전자,39,313
구매 자재 물류,erp,29,313
구매 자재 물류,데이터엔지니어,26,313
구매 자재 물류,손익관리,26,313
구매 자재 물류,앱개발,26,313
구매 자재 물류,소프트웨어개발,26,313
금융 보험,백엔드,65,379
금융 보험,서버개발,65,379
금융 보험,웹개발,54,379
금융 보험,소프트웨어개발,51,379
금융 보험,정보보안,44,379
금융 보험,전자,33,379
금융 보험,데이터엔지니어,31,379
금융 보험,앱개발,26,379
금융 보험,손익관리,22,379
금융 보험,erp,22,379
기획 전략,앱기획,48,600
기획 전략,광고기획,47,600
기획 전략,영업전략,45,600
기획 전략,영업기획,44,600
기획 전략,사업관리,43,600
기획 전략,pm,35,600
기획 전략,프로젝트매니저,35,600
기획 전략,d기획,31,600
기획 전략,온라인마케팅,30,600
기획 전략,웹기획,29,600
디자인,웹디자인,122,600
디자인,시각디자인,96,600
디자인,ui,87,600
디자인,브랜드디자인,80,600
디자인,그래픽디자인,75,600
디자인,영상디자인,68,600
디자인,ux디자인,67,600
디자인,배너디자인,62,600
디자인,디지털디자인,58,600
디자인,웹개발,53,600
마케팅 홍보 조사,온라인마케팅,63,376
마케팅 홍보 조사,백엔드,56,376
마케팅 홍보 조사,서버개발,56,376
마케팅 홍보 조사,sns마케팅,55,376
마케팅 홍보 조사,시장조사,38,376
마케팅 홍보 조사,블로그마케팅,36,376
마케팅 홍보 조사,정보보안,35,376
마케팅 홍보 조사,웹개발,34,376
마케팅 홍보 조사,전자,33,376
마케팅 홍보 조사,퍼포먼스마케팅,30,376
미디어 문화 스포츠,백엔드,71,292
미디어 문화 스포츠,서버개발,71,292
미디어 문화 스포츠,웹개발,43,292
미디어 문화 스포츠,정보보안,42,292
미디어 문화 스포츠,전자,42,292
미디어 문화 스포츠,데이터엔지니어,28,292
미디어 문화 스포츠,손익관리,28,292
미디어 문화 스포츠,erp,28,292
미디어 문화 스포츠,앱개발,28,292
미디어 문화 스포츠,소프트웨어개발,28,292
상품기획 MD,기획md,75,407
상품기획 MD,온라인md,72,407
상품기획 MD,브랜드md,53,407
상품기획 MD,백엔드,50,407
상품기획 MD,서버개발,50,407
상품기획 MD,영업md,32,407
상품기획 MD,웹개발,29,407
상품기획 MD,정보보안,28,407
상품기획 MD,유통md,27,407
상품기획 MD,전자,27,407
생산,python,56,600
생산,소프트웨어개발,54,600
생산,백엔드,50,600
생산,서버개발,50,600
생산,생산,48,600
생산,머신러닝,42,600
생산,생산기술,37,600
생산,웹개발,36,600
생산,딥러닝,31,600
생산,기계설계,30,600
서비스,백엔드,127,600
서비스,서버개발,127,600
서비스,웹개발,94,600
서비스,python,64,600
서비스,소프트웨어개발,47,600
서비스,java,46,600
서비스,se,42,600
서비스,시스템엔지니어,42,600
서비스,네트워크,38,600
서비스,머신러닝,33,600
연구 R&D,백엔드,71,348
연구 R&D,서버개발,71,348
연구 R&D,소프트웨어개발,38,348
연구 R&D,웹개발,38,348
연구 R&D,정보보안,36,348
연구 R&D,전자,36,348
연구 R&D,데이터엔지니어,29,348
연구 R&D,앱개발,26,348
연구 R&D,데이터분석가,25,348
연구 R&D,손익관리,24,348
영업 판매 무역,백엔드,65,319
영업 판매 무역,서버개발,65,319
영업 판매 무역,정보보안,40,319
영업 판매 무역,전자,39,319
영업 판매 무역,웹개발,39,319
영업 판매 무역,데이터엔지니어,26,319
영업 판매 무역,손익관리,26,319
영업 판매 무역,erp,26,319
영업 판매 무역,앱개발,26,319
영업 판매 무역,소프트웨어개발,26,319
운전 운송 배송,백엔드,70,287
운전 운송 배송,서버개발,70,287
운전 운송 배송,정보보안,42,287
운전 운송 배송,전자,42,287
운전 운송 배송,웹개발,42,287
운전 운송 배송,데이터엔지니어,28,287
운전 운송 배송,손익관리,28,287
운전 운송 배송,erp,28,287
운전 운송 배송,앱개발,28,287
운전 운송 배송,소프트웨어개발,28,287
의료,백엔드,53,600
의료,서버개발,53,600
의료,웹개발,48,600
의료,python,41,600
의료,소프트웨어개발,38,600
의료,java,30,600
의료,머신러닝,23,600
의료,데이터분석가,23,600
의료,영업마케팅,21,600
의료,프론트엔드,20,600
인사 노무 HRD,백엔드,76,324
인사 노무 HRD,서버개발,76,324
인사 노무 HRD,정보보안,47,324
인사 노무 HRD,웹개발,47,324
인사 노무 HRD,전자,45,324
인사 노무 HRD,소프트웨어개발,31,324
인사 노무 HRD,데이터엔지니어,30,324
인사 노무 HRD,손익관리,30,324
인사 노무 HRD,erp,30,324
인사 노무 HRD,앱개발,30,324
총무 법무 사무,백엔드,75,334
총무 법무 사무,서버개발,75,334
총무 법무 사무,정보보안,47,334
총무 법무 사무,전자,45,334
총무 법무 사무,웹개발,45,334
총무 법무 사무,소프트웨어개발,33,334
총무 법무 사무,데이터엔지니어,30,334
총무 법무 사무,손익관리,30,334
총무 법무 사무,erp,30,334
총무 법무 사무,앱개발,30,334
회계 세무 재무,세무회계,70,364
회계 세무 재무,기업회계,65,364
회계 세무 재무,회계결산,56,364
회계 세무 재무,백엔드,54,364
회계 세무 재무,서버개발,54,364
회계 세무 재무,재무회계,36,364
회계 세무 재무,웹개발,32,364
회계 세무 재무,정보보안,31,364
회계 세무 재무,관리회계,30,364
회계 세무 재무,소프트웨어개발,30,364
